name,team_code,team_name,pos,credits,min_proj,pts,reb,ast,stl,blk,tov,pdk,gp,min_total
Neal Sako,ASV,LDLC ASVEL Villeurbanne,C,0.0,21.97,297.0,203.0,27.0,26.0,16.0,29.0,429.1,33.0,725.0
Melvin Ajinca,ASV,LDLC ASVEL Villeurbanne,F,0.0,14.44,147.0,32.0,9.0,2.0,0.0,17.0,76.8,27.0,390.0
Theo Maledon,ASV,LDLC ASVEL Villeurbanne,G,0.0,27.61,561.0,114.0,153.0,33.0,5.0,97.0,713.3,33.0,911.0
Shaquille Harrison,ASV,LDLC ASVEL Villeurbanne,G,0.0,16.35,177.0,55.0,54.0,39.0,8.0,38.0,154.9,34.0,556.0
Mbiya Paul,ASV,LDLC ASVEL Villeurbanne,C,0.0,3.83,4.0,6.0,0.0,1.0,3.0,0.0,5.7,6.0,23.0
Yohann Sissoko,ASV,LDLC ASVEL Villeurbanne,F,0.0,6.8,4.0,7.0,4.0,0.0,0.0,2.0,7.0,5.0,34.0
Andre Roberson,ASV,LDLC ASVEL Villeurbanne,F,0.0,25.84,210.0,155.0,36.0,29.0,27.0,42.0,271.7,25.0,646.0
Roman Sorkin,MTA,Maccabi Playtika Tel Aviv,F,0.0,23.36,427.0,135.0,35.0,18.0,16.0,50.0,406.6,33.0,771.0
Rafi Menco,MTA,Maccabi Playtika Tel Aviv,F,0.0,8.86,40.0,17.0,5.0,2.0,0.0,4.0,36.9,14.0,124.0
Jasiel Rivero,MTA,Maccabi Playtika Tel Aviv,C,0.0,21.95,204.0,87.0,26.0,16.0,9.0,22.0,256.6,20.0,439.0
Jake Cohen,MTA,Maccabi Playtika Tel Aviv,F,0.0,9.52,64.0,35.0,10.0,3.0,0.0,14.0,60.5,23.0,219.0
John Dibartolomeo,MTA,Maccabi Playtika Tel Aviv,G,0.0,17.42,170.0,62.0,22.0,22.0,0.0,8.0,181.2,33.0,575.0
Rokas Jokubaitis,MTA,Maccabi Playtika Tel Aviv,G,0.0,24.46,353.0,89.0,131.0,28.0,1.0,73.0,452.1,28.0,685.0
Tamir Blatt,MTA,Maccabi Playtika Tel Aviv,G,0.0,24.19,231.0,62.0,175.0,12.0,0.0,75.0,311.6,26.0,629.0
Jaylen Hoard,MTA,Maccabi Playtika Tel Aviv,F,0.0,30.62,353.0,121.0,33.0,31.0,6.0,21.0,433.5,24.0,735.0
Trevion Williams,MTA,Maccabi Playtika Tel Aviv,F,0.0,19.91,314.0,208.0,77.0,19.0,15.0,78.0,364.4,32.0,637.0
Omer Mayer,MTA,Maccabi Playtika Tel Aviv,G,0.0,8.25,21.0,5.0,16.0,3.0,0.0,12.0,18.4,8.0,66.0
Levi Randolph,MTA,Maccabi Playtika Tel Aviv,F,0.0,27.73,396.0,126.0,58.0,20.0,0.0,39.0,412.4,33.0,915.0
William Rayman,MTA,Maccabi Playtika Tel Aviv,F,0.0,11.39,86.0,102.0,5.0,6.0,4.0,6.0,114.6,33.0,376.0
Marial Shayok,MTA,Maccabi Playtika Tel Aviv,G,0.0,15.1,114.0,41.0,20.0,14.0,0.0,11.0,91.1,20.0,302.0
Jimmy Clark Iii,MTA,Maccabi Playtika Tel Aviv,G,0.0,19.0,80.0,19.0,32.0,9.0,1.0,20.0,77.2,8.0,152.0
Tyler Dorsey,OLY,Olympiacos Piraeus,G,4.0,10.1,66.0,19.0,21.0,4.0,1.0,19.0,43.1,20.0,202.0
Luca Vildoza,OLY,Olympiacos Piraeus,G,5.9,17.67,157.0,49.0,90.0,24.0,3.0,31.0,188.1,33.0,583.0
Nigel Williams-goss,OLY,Olympiacos Piraeus,G,9.3,22.91,302.0,74.0,119.0,26.0,2.0,63.0,326.2,35.0,802.0
Shaquielle Mckissic,OLY,Olympiacos Piraeus,G,5.8,16.42,288.0,82.0,62.0,20.0,1.0,38.0,300.0,38.0,624.0
Alec Peters,OLY,Olympiacos Piraeus,F,9.4,16.42,325.0,105.0,32.0,11.0,2.0,17.0,387.2,40.0,657.0
Kostas Papanikolaou,OLY,Olympiacos Piraeus,F,6.9,18.76,183.0,107.0,78.0,24.0,12.0,29.0,256.8,38.0,713.0
Sasha Vezenkov,OLY,Olympiacos Piraeus,F,21.2,30.39,751.0,248.0,70.0,36.0,7.0,41.0,967.1,38.0,1155.0
Moustapha Fall,OLY,Olympiacos Piraeus,C,8.8,17.37,202.0,101.0,67.0,10.0,28.0,33.0,315.6,35.0,608.0
Giannoulis Larentzakis,OLY,Olympiacos Piraeus,G,4.0,7.0,45.0,23.0,21.0,4.0,1.0,6.0,67.2,17.0,119.0
Thomas Walkup,OLY,Olympiacos Piraeus,G,6.7,20.23,103.0,60.0,119.0,26.0,3.0,40.0,201.8,26.0,526.0
Naz Mitrou-long,OLY,Olympiacos Piraeus,G,4.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,3.5,4.0,12.0
Nikola Milutinov,OLY,Olympiacos Piraeus,C,13.2,19.86,237.0,167.0,22.0,17.0,20.0,18.0,449.7,29.0,576.0
Moses Wright,OLY,Olympiacos Piraeus,C,6.3,12.83,105.0,46.0,11.0,9.0,7.0,19.0,122.5,18.0,231.0
Evan Fournier,OLY,Olympiacos Piraeus,G,12.9,25.78,595.0,82.0,95.0,40.0,5.0,68.0,505.5,37.0,954.0
Saben Lee,OLY,Olympiacos Piraeus,G,8.2,17.48,155.0,42.0,46.0,19.0,2.0,34.0,195.6,21.0,367.0
Lorenzo Brown,PAO,Panathinaikos AKTOR Athens,G,7.5,14.92,238.0,76.0,102.0,29.0,2.0,49.0,309.4,38.0,567.0
Marius Grigonis,PAO,Panathinaikos AKTOR Athens,G,4.0,11.5,12.0,3.0,4.0,0.0,1.0,3.0,11.2,4.0,46.0
Alexandros Samodurov,PAO,Panathinaikos AKTOR Athens,C,4.0,4.33,11.0,7.0,1.0,0.0,3.0,0.0,17.0,6.0,26.0
